title,Cl/Cd_Re50K_N9,Cl/Cd_Re50K_N5,Cl/Cd_Re100K_N9,Cl/Cd_Re100K_N5,Cl/Cd_Re200K_N9,Cl/Cd_Re200K_N5,Cl/Cd_Re500K_N9,Cl/Cd_Re500K_N5,Cl/Cd_Re1000K_N9,Cl/Cd_Re1000K_N5,max_thickness,max_camber
NACA 64-208 (naca64208-il),26.6,31.5,45.3,42.8,58.9,53.3,75.8,60.7,80.8,70.1,8%,1.1%
NACA 64-206 (naca64206-il),23.4,30.1,43.2,41,56.2,51.3,72.2,60.1,80.8,68.4,6%,1.1%
NACA 6412 (naca6412-il),9.8,29.6,53.1,58.7,80,81.2,114.2,111.3,142.7,136.6,12%,6%
NACA 64(1)-112 (naca641112-il),29.7,29.3,44.1,40,54.4,47.8,68.3,56,76.6,69.6,12%,0.6%
NACA 63A210 (naca63a210-il),28.3,31.3,37.6,40.2,44.9,48.3,52,58.3,58.5,70.4,10%,1.3%
NACA 63(4)-421 (naca634421-il),3.8,9.4,24.4,35,61.4,63,95.3,90.8,119.1,109.7,21%,2.2%
NACA 63(4)-221 (naca634221-il),4.8,10.8,28.9,34,58.1,58.4,88,82,108,95.8,21%,1.1%
NACA 63(3)-618 (naca633618-il),5.1,14.2,41.6,46.5,74,73.4,107.6,102.8,133.2,122.1,18%,3.3%
NACA 63 (naca633418-il),20.3,16.6,45.4,44.7,69.3,67.8,99.2,91.6,120.5,106.9,18%,2.2%
NACA 63(3)-218 (naca633218-il),22.2,21.8,43,38.8,51.9,49.6,67.8,63.9,81.6,75.9,18%,1.1%
NACA 63(3)-018 (naca633018-il),23.4,20.6,40.7,36.4,53.3,50.2,73,61.4,83,65.4,18%,0%
NACA 63(2)A-015 (naca632a015-il),23.3,29.7,45.8,45.1,59.7,55.6,76.7,72.9,93.1,84.9,15%,1.7%
NACA 63(2)-615 (naca632615-il),27.8,24.9,55,55.6,81.7,78.1,112.2,104.5,134.4,121.6,15%,3.3%
NACA 63-209 (naca63209-il),32.1,32.9,47.3,44.5,62,55.5,78,63.4,84.6,72.7,9%,1.1%
NACA 63-206 (naca63206-il),24.2,31.1,43.1,41.5,57,52.4,72.4,58.7,80.3,69,6%,1.1%
NACA 4424 (naca4424-il),2,8.8,30.8,33.5,53.6,45.9,64.3,55.6,73.6,64.5,24%,4%
NACA 4421 (naca4421-il),3.6,15.3,36.1,41.9,61.2,58.4,83.3,78.1,103.1,93.2,21%,4%
NACA 4418 (naca4418-il),5.3,23.1,43.3,47.7,67,65.4,93.3,88,115.8,107.5,18%,4%
NACA 4415 (naca4415-il),7.4,27.4,48.4,50.7,71.1,68.2,97,90.4,119.4,109.1,15%,4%
NACA 4412 (naca4412-il),33.4,36.1,56.1,57.4,78.1,76.6,107.5,101.1,129.4,119.2,12%,4%
NACA 25112 (naca25112-jf),17.7,28.6,42.5,46.7,62.9,63.9,89.9,85.9,109.4,98.1,12%,2%
NACA 2424 (naca2424-il),1.8,15.6,36.8,33.2,49,40.3,55,49.9,65.9,58.3,24%,2%
NACA 2421 (naca2421-il),6.9,23.8,39.5,41.1,57.5,53.3,75.5,67.6,89.5,81.1,21%,2%
NACA 2418 (naca2418-il),8.6,27.3,42.9,44,60.8,58.6,83.4,75.3,97.1,87.5,18%,2%
NACA 2415 (naca2415-il),27.4,31.4,46.7,47.2,64.1,61.5,86.3,79.5,102.2,88.6,15%,2%
NACA 2412 (naca2412-il),32.5,34.6,50,49.4,66.6,62.6,87.3,78.3,101.4,87,12%,2%
NACA 24112 (naca24112-jf),19.9,27.6,37.3,43.5,57.7,60.4,84.9,83,105.5,98.1,12%,1.7%
NACA 2410 (naca2410-il),35.3,36.1,51.8,49.9,67.3,62,86.3,75.4,98.5,83.7,10%,2%
NACA 2408 (naca2408-il),37.4,36.7,52.6,48.9,66.6,58.9,80.6,67.5,86.8,82.1,8%,2%
NACA 23112 (naca23112-jf),22.3,27.3,34.7,39.9,50.6,55.5,77.9,78.2,98.6,95.4,12%,1.2%
NACA 2.5411 (naca2411-il),34.3,35.9,52.9,52.2,71.2,67.4,95.6,86.6,113.7,97.7,11%,2.5%
NACA 23024 (naca23024-il),16.3,19.9,34.2,28.5,41.3,33.2,44.5,43.4,56.9,54.4,24%,2.9%
NACA 23021 (naca23021-il),18.6,24.8,37,35.7,49.1,42.7,56.4,50.5,64.3,55.8,21%,1.9%
NACA 23018 (naca23018-il),21.1,26.2,36.1,38.2,50,50.8,71.3,70,89.9,84.6,18%,1.8%
NACA 23015 (naca23015-il),21,27.2,33.7,39.1,48.4,52.6,72,74.8,91,91.3,15%,1.8%
NACA 23012  12% (naca23012-il),24.2,28.3,36.4,40.5,51,55.4,77.1,77.2,96.8,93.7,12%,1.8%
NACA 22112 (naca22112-jf),23.9,26.4,33.9,36.8,45.7,49.5,67.7,71.6,89.4,89.4,12%,0.8%
NACA 16-021 (naca16021-il),21.9,17.9,28.3,20.7,33.7,26.3,39.5,28.4,42,31.6,21%,0%
NACA 16-018 (naca16018-il),22.6,20.6,28.8,24.4,37.9,30,44.5,33.3,47.1,40.5,18%,0%
NACA 16-015 (naca16015-il),22.4,21.7,29.9,28.1,40.4,32,44.6,39.7,50.5,50.5,15%,0%
NACA 16-012 (naca16012-il),21.1,22.1,28.2,30.8,44.9,32.5,42.5,44.5,51.7,55.7,12%,0%
NACA 16009 (naca16009-il),18,19.8,25.1,28.8,39.4,34.6,44.6,38,47,47.1,9%,0%
NACA 16-006 (naca16006-il),16.4,16.4,20.6,21.7,25.6,33.4,41.2,34,40.8,36.2,6%,0%
NACA 1412 (naca1412-il),29.6,31.2,44.1,43,57.6,53.3,73.5,66,83.8,78.6,12%,1%
NACA 1410 (naca1410-il),31.2,31.6,44.6,42.2,56.6,50.6,70.8,63.6,78.9,78.3,10%,1%
NACA 1408 (naca1408-il),32.3,31.5,44.2,40.7,54.9,47.3,66.6,62.3,72.7,77.2,8%,1%
NACA 0024 (naca0024-il),15.4,21.6,34.7,30.6,43,37,52.1,50.8,68.8,64.1,24%,0%
NACA 0021 (naca0021-il),19.1,25.2,36.6,35.6,48,43.6,60.6,56.8,74.7,71,21%,0%
NACA 0015 (naca0015-il),24.7,26.9,37.5,37.8,49.6,48.6,66.4,63.2,77.9,75.1,15%,0%
NACA 0018 (naca0018-il),22.1,26.4,37.5,38.1,50.1,48,65.8,61.5,77.9,73.7,18%,0%
NACA0012H for VAWT from Sandia report SAND80-2114 (naca0012h-sa),20.3,22.8,28.2,33.5,41.5,46.6,63.7,66.2,82,81.9,12.2%,0%
NACA 0012-64 a=0.8 c(li)=0.2 (naca001264a08cli02-il),33,32.2,49.9,48.2,66.9,61.8,80.7,63.4,77,72.5,11%,1.8%
NACA 0012-64 (naca001264-il),26.7,25.8,37.8,32.2,43.8,40.3,50.8,53.2,63,67.8,12%,0%
NACA 0012-34 (naca001234-il),25.9,27.5,39.2,36.7,47.6,39.7,49.1,45.6,56.4,55.7,12%,0%
NACA 0010-66 (naca001066-il),20.9,21.9,26.6,28.9,33.9,34.4,42.9,47.1,53.6,59.7,10%,0%
NACA 0010-65 (naca001065-il),20.4,21.8,27.1,28.3,40.6,35.7,43.1,50.7,57.4,65.3,10%,0%
NACA 0010-64 (naca001064-il),25.8,25.2,36.2,31.7,43.3,38.7,49.2,53.7,62.5,71.6,10%,0%
NACA 0010-35 (naca001035-il),17.6,18.8,24,27.1,37.4,32.2,39.6,36.9,43.2,45.2,10%,0%
NACA 0010-34 a=0.8 c(li)=0.2 (naca001034a08cli02-il),26.5,30.8,47.3,46,67.1,62.8,89.6,73,93.6,78.7,10%,1.3%
NACA 0010-34 (naca001034-il),20.8,25.1,35.7,34.8,45.2,38.6,46.5,43.9,49.7,51.1,10%,0%
NACA 0008-34 (naca000834-il),18.3,18.5,24.7,30.1,40.5,36,57.2,37.4,43,42.8,8%,0%
NACA 0010 (naca0010-il),25.9,25.7,35.8,33.5,44.4,42.2,55.2,57.8,70.2,74.1,10%,0%
NACA 0008 (naca0008-il),26.1,24.6,34.6,30.4,41.1,38.5,50.2,56.2,68.3,69.9,8%,0%
N-9 (n9-il),36.8,38.3,53.3,51.6,68.1,63.4,84,78.3,96.6,92.4,8.5%,2.7%
NACA 8-H-12 AIRFOIL (n8h12-il),8,18.6,45.6,48,72,71.2,104.2,98.6,128.4,118.2,12%,3.5%
NACA 6-H-20 AIRFOIL (n6h20-il),3.5,6.1,6,8.5,16.8,14.2,67.6,50.5,83,81.9,20%,6.1%
NACA 6-H-15 AIRFOIL (n6h15-il),15.5,10.7,17.3,23.1,64.8,53.1,85.1,83,109.8,97.9,15.6%,4.5%
NACA 6-H-10 AIRFOIL (n6h10-il),23.5,17.7,48.3,44.1,71.5,68.2,87,87.9,107.3,99.7,10%,4.6%
NACA 66-021 AIRFOIL (n66021-il),18.6,11,23.8,15.4,25.5,26.5,57.7,54.1,78.2,64.9,21%,0%
NACA 64-215 AIRFOIL (n64215-il),28.3,26.6,47.6,44.3,63.1,58.9,85.5,73.7,99.2,79.3,15%,1.1%
NACA 64(1)-212 MOD B (n64212mb-il),24.3,25.3,30.6,35.1,45.8,51.3,74.4,76.5,96.8,95,12%,1.5%
NACA 64(1)-212 MOD A (n64212ma-il),29.9,28.1,42.5,38.7,49.2,48.4,68.5,68.7,83.4,79.1,12%,2.5%
NACA 64(1)-212 (n64212-il),31.1,31.8,48.2,45.9,65.2,55.9,80.3,67.8,91.2,73.3,12%,1.1%
NACA 64-110 AIRFOIL (n64110-il),29.9,28.7,41.6,39,54.5,44.6,63.5,54.1,69.3,68.1,10%,0.6%
NACA 64-108 AIRFOIL (n64108-il),26.4,27.6,39,36.2,49.4,43.5,60,50.3,63.1,65.3,8%,0.6%
NACA6409 9% (n6409-il),27.1,36,61.6,63.7,87.1,87.4,122.4,118.6,151,144.3,9%,6%
NACA 642-015A AIRFOIL (n64015a-il),28.6,27.9,43.2,36.8,49.9,44.5,64.4,52.7,70.1,65.2,15%,0%
NACA 642-015 AIRFOIL (n64015-il),27.6,27,40.3,35.1,48.9,45,65.2,52.6,72.4,65,15%,0%
NACA 64-012A AIRFOIL (n64012a-il),27.5,27.2,40,35.5,47.8,39.9,56.4,52.1,61.9,64.9,12%,0%
NASA/LANGLEY 64-012 AIRFOIL (n64012-il),26.7,27.1,39.9,32.8,43.5,39.4,56.5,51.5,60.9,65.4,12%,0%
NACA 64-008A AIRFOIL (n64008a-il),19.1,23.3,32.5,30.1,41,35,46.5,44.5,49.9,59.4,8%,0%
NACA 63-415 AIRFOIL (n63415-il),30,27.8,53.1,52.3,75.6,70,100.9,90.7,118.7,103,15%,2.2%
NACA 63-412 AIRFOIL (n63412-il),36.1,36,56.6,54.8,77.2,70.6,99.8,88.1,115.7,98.7,12%,2.2%
NACA 63(2)-215 MOD B (n63215b-il),25.9,24.5,32.8,35.3,44.4,47.9,66.4,68.3,86.3,83.9,15%,1.5%
NACA 63-215 AIRFOIL (n63215-il),29.7,28.5,48.6,46.5,65.5,59.5,85.7,73.6,98.9,80.8,15%,1.1%
NACA 63-212 AIRFOIL (n63212-il),33.5,32.8,49.6,46.9,65.6,57.4,81.7,69.1,91.9,74.9,12%,1.1%
NACA 63-210 AIRFOIL (n63210-il),33.5,32,46.7,42.8,59.4,48.7,67.7,55.8,69,66.3,10%,1.1%
NACA 63-015A AIRFOIL (n63015a-il),28.9,28.5,44.4,39.3,53.2,46.6,66.3,55.2,72.8,66.9,15%,0%
NACA 63012A AIRFOIL (n63012a-il),28.9,28.1,41.3,38.3,52,41.9,58.1,54.2,64.7,66.6,12%,0%
NACA 63A010 AIRFOIL (n63010a-il),27.3,26.4,37.7,34.9,47.7,39.2,52.3,51,59.7,64.2,10%,0%
NACA 5-H-20 AIRFOIL (n5h20-il),3.5,7.1,17,14.8,25.4,34.1,78.6,56.8,85.4,75.4,19.9%,4.5%
NACA 5-H-15 AIRFOIL (n5h15-il),14.2,14.8,30,43.1,70,58.6,78.2,71.4,92.8,85.5,15.4%,2.9%
SOKOLOV AIRFOIL (sokolov-il),44.3,45.2,68.7,69.5,92.9,92,124.7,118.2,146.1,109.7,7.1%,6.3%
NACA 5-H-10 AIRFOIL (n5h10-il),30.8,31.9,48.4,48.9,65.8,56.2,70,58.7,74.9,69,9.9%,2.3%
NACA 2-H-15 AIRFOIL (n2h15-il),18.1,13.4,20,20.3,34.9,38.1,110.5,107.5,145.1,122.1,14.7%,4.5%
NACA 2415 (n2415-il),26.3,31.6,46.6,47.2,64.2,61.5,87.1,79.2,103,89.9,15%,2%
NACA 2414 (n2414-il),29.2,32.7,47.8,48.1,65.1,62.1,87.6,79.4,103.7,90,14%,2%
N-24 (n24-il),6.5,24.5,41.5,47,65.6,64.6,91.5,84.4,108.7,104.1,17%,5.4%
NACA 1-H-15 AIRFOIL (n1h15-il),18.6,12.6,20.3,19.2,29,31.1,103.7,102.2,150.2,133.2,14.7%,5.5%
N-22 (n22-il),24.3,36,51.8,54.1,71.7,70.7,98.4,94.6,120.5,112.8,12.4%,4%
N-14 (n14-il),29.1,27.5,40.5,36.8,48.3,44.5,56.1,58.9,71.8,73.2,11.5%,0.1%
N-13 (n13-il),29,27.7,41.3,37.2,49.4,45.8,60.2,60.8,73.1,71,11.8%,0.1%
N-12 (n12-il),28.9,27.7,39,36.1,46.4,42.9,53.3,55.5,64.4,73.7,10.5%,0.2%
NACA 11-H-09 AIRFOIL (n11h9-il),24.5,24.6,52.6,53.1,79.6,79.1,114.5,109.5,138.9,125,9%,4.5%
N-11 (n11-il),27.1,38.1,54.6,56.2,75.6,72,100.9,93.9,118.4,111.6,10.9%,4.4%
N-10 (n10-il),28.8,37.2,52,52.6,68.6,68.9,95.3,92,115.7,109.4,11.2%,3.6%
NACA 0012 AIRFOILS (n0012-il),25.7,26.5,36.7,36.1,47.4,45.9,61.7,61.7,75.6,75.4,12%,0%
NACA/LANGLEY SYMMETRICAL (n0011sc-il),22.3,22.3,30.4,30.5,41.5,39.2,49.6,50.4,59,62.6,11%,0%
NACA-0009 9.0% smoothed (n0009sm-il),27,25.6,37.3,33.4,45.6,42.2,55.9,60.2,74.7,75.6,9%,0%
MUE 139 (mue139-il),15.7,27.3,35.3,44.9,58.3,63.5,89.2,90.9,116.5,115.3,13.9%,4.7%
NASA/LANGLEY MS(1)-0317 AIRFOIL (ms317-il),28.4,24.2,36.2,35.5,48.5,47.7,69.9,64.6,80.4,80.7,17%,1.7%
NASA/LANGLEY MS(1)-0313 AIRFOIL (ms313-il),31.6,29.8,46.4,39.5,55.5,50.5,74.4,69.8,85.3,87.1,13.1%,1.8%
MRC-20 (mrc-20-il),23.9,29.4,50.8,50.3,73.1,68.4,99.2,86.6,114.5,100.1,15.6%,2.9%
MRC-16 (mrc-16-il),23.1,31.2,50.5,52.5,73.1,71.1,102.1,94.4,124.1,110.3,13.9%,3%
MILEY M06-13-128 (miley-il),5.8,11,23.5,23.2,61.2,62.8,122.8,121.4,168,157.6,12.9%,4.9%
MH 95  15.86% (mh95-il),29.7,29,44.5,37.4,48.4,45.6,62.6,60.8,78,74.3,15.8%,0.9%
MH 94  16.03% (mh94-il),29.5,27.3,40.3,36.5,46.3,45.9,62.7,61.3,76.7,75.8,16%,1.3%
MH 93  15.98% (mh93-il),14.6,24.4,33.4,39.8,52.5,53.2,74.4,71.3,92,88.9,16%,1.4%
MH 92  15.49% (mh92-il),15.4,24.9,33.8,40,52.7,54.7,76.6,73.4,94.2,90.1,15.5%,1.4%
MH 91  14.98% (mh91-il),16.1,25.2,34.3,40.1,52.7,55.6,78.1,75.3,96.6,91.4,15%,1.4%
MH 83  13.29% (mh83-il),12.8,26.7,34.1,46.6,59.1,67.1,94.1,97.6,123.8,123.9,13.3%,4.5%
MH 84  13.69% (mh84-il),15.2,30.1,40.4,48.2,62.5,66.3,92.3,92,116.3,113,13.7%,4.1%
MH 82  13.31% (mh82-il),11.1,23.4,29.6,42.1,53.7,61.7,87.1,90.5,115.3,115.2,13.3%,3.9%
MH 81  13% (mh81-il),11.8,23,28.9,41,52,60.1,85.1,88.3,112.7,111.9,12.9%,3.3%
MH 80  12.72% (mh80-il),12.3,22.6,28.3,39.7,50.5,58.3,82.7,85.7,109.2,108.1,12.7%,2.8%
MH 78  14.47% (mh78-il),9.9,18.4,22.4,33.6,42.3,51.3,73.6,77.3,99.2,97.2,14.4%,1.9%
MH 70  11.08% (mh70-il),27.4,35.6,50.6,52.3,70.3,67.9,95,87.9,112.4,103.8,11.1%,3%
MH 64  8.59% (mh64-il),29.7,33.1,44.8,45.2,59.5,57,78,72.3,90.8,84,8.6%,1.4%
MH 61  10.26% (mh61-il),31.3,33,47.6,47.2,63.9,60.4,84.4,76.2,98,86.6,10.2%,1.4%
MH 62  9.3% (mh62-il),28.7,33.1,45,46,60.4,58.7,80.5,75,94.6,87.6,9.3%,1.6%
MH 60  10.08% (mh60-il),27.5,32.9,45,46.6,61.4,60,82.8,77.5,98.3,91,10.1%,1.7%
MH 46  9.1% (mh46-il),30.3,33.4,46,46.3,61.8,58.7,81.3,74.1,94.9,85.3,9.1%,1.4%
MH 45  9.85% (mh45-il),27.9,32.7,44.6,45.9,60.6,58.7,81.1,75.3,95.4,88.5,9.8%,1.7%
MH 44  9.66% (mh44-il),29.1,32.8,44.9,45.6,60.6,58.1,80.6,74.5,94.6,87.3,9.6%,1.5%
MH 43  8.5% (mh43-il),33.4,35.5,50.1,49.1,66.7,61.8,86.9,76.2,100,85.6,8.5%,1.7%
MH 42  8.94% (mh42-il),32.7,35.5,49.9,49.6,67,62.8,88.1,78.5,102,89.2,8.9%,1.8%
MH 38  9.68% (mh38-il),37.7,37.8,61.4,61.6,86.8,85.2,122.7,114.5,149.6,133.9,9.7%,3.9%
MH33 (mh33-il),32.3,31.9,46.1,42.2,59.5,51.2,72.9,64.2,81.2,74.6,7.3%,1.1%
MH 32  8.7% (mh32-il),35.2,37.9,53.9,53.1,72.3,67.2,94.7,84,109.3,96.3,8.7%,2.3%
MH 30  7.84% (mh30-il),34.8,35.7,51.2,48.5,67.1,59.8,85.1,73.8,95.5,84.5,7.8%,1.7%
MH 27  11.99% (mh27-il),33.6,30.7,49.9,46.4,69.9,54.7,73.4,54.7,73.1,61.2,12%,1.4%
MH 26  10.99% (mh26-il),34.3,32,51.2,47.5,71.2,57.8,77.8,58.4,74.8,66.2,11%,1.4%
MH 25  9.98% (mh25-il),34.4,32.9,51.9,48,70.9,58.8,78.8,60.6,75,69.6,10%,1.4%
MH 24  9.01% (mh24-il),34.2,33,50.9,47,68.4,59.2,79.5,61.5,74.5,70.4,9%,1.2%
MH 23  8% (mh23-il),34.1,33.2,50,45.9,66.9,57.4,83.8,66.6,83.9,72.2,8%,1.2%
MH 22  7.2% (mh22-il),33.8,35,48.5,47.8,63.9,60.3,82.8,74.5,92.7,81.9,7.2%,1.8%
MH 201  13.08% (mh201-il),33.9,34.6,55,52.6,73.5,67,95.9,85.1,113.6,95.9,13%,2.5%
MH 200  12.97% (mh200-il),33.7,32.3,53.4,51,76.1,66.7,98.6,85.7,117,93.7,13%,2.1%
MH 20  9.01% (mh20-il),33.7,34.9,50.7,50.1,68.7,64.6,91.6,81.5,105.5,93.3,9%,1.9%
MH 18  11.16% (mh18-il),32.3,31.7,53.3,53.3,77.2,74.2,108.6,96.4,127.4,107.5,11.1%,2.7%
MH 150  23.89% (mh150-il),3.9,7.8,14.2,38.5,56.3,61.4,90.5,88.1,117.3,112.9,23.9%,4.5%
MH 122  9.32% (mh122-il),38,38,61.1,58.7,90.1,87.6,137.7,114.9,161.2,125.1,9.3%,3.4%
MH 121  8.76% (mh121-il),31.9,35.8,53.6,57.9,84,82.4,125.8,107.8,139.1,117.7,8.8%,3%
MH 120  11.57% (mh120-il),32.6,34.7,54.1,54.6,76.3,73.1,104.6,95.2,124.3,105.9,11.6%,2.2%
MH 117  9.8% (mh117-il),36.1,38.4,56.4,55.8,77,72,102.9,90.4,120.1,100.9,9.8%,2.7%
MH 116  9.84% (mh116-il),39,39.4,63,63,89.5,86.1,125.6,113.6,150.8,131,9.9%,4.1%
MH 115  11.06% (mh115-il),28.6,37.5,61.9,64.9,91.5,90,130.7,120.4,158.7,140.4,11.1%,5.5%
MH 113  14.62% (mh113-il),6,20.3,50.1,56,84.7,83.6,124.3,114.2,153,132.2,14.7%,6.4%
MH 114  13.02% (mh114-il),9.4,26,56.2,60.7,89.7,88.6,131.2,121,161,140.6,13%,6.4%
MH 112  Airfoil (mh112-il),5.3,14.2,37.5,48.6,80,79.4,120,109.7,147.7,126.6,16.2%,6.7%
MH 110  10.01% (mh110-il),16.5,25.2,39,41,56.3,56,78.5,75.9,94.8,88.9,10%,1%
MH 108  11.98% (mh108-il),16.4,25.9,36.1,42.2,56.3,58.5,82.7,79.8,102,93.8,11.9%,1%
MH 106  13.07% (mh106-il),14.9,27.3,42.1,44.6,61.4,60.6,86.6,79.7,103.6,87.5,13.1%,0.9%
MH 102  16.99% (mh102-il),5.5,23.6,37.8,45.8,63.5,65.2,94.2,91,118.7,110.2,17%,2.8%
MH 104  15.28% (mh104-il),12,21.3,37.2,43.7,62.8,65,95.5,92.6,120.8,106.9,15.2%,1.9%
MB253515 15.0% smoothed (mb253515sm-il),7.5,25.4,48.5,49,70,68.3,92.2,83.6,105.8,96.8,15%,2.5%
RONCZ LOW DRAG FLYING WING AIRFOIL (marske7-il),27.4,24,43.2,43.2,72,67.9,103.7,90.8,120.8,96.1,12.1%,2.8%
MARSKE MONARCH AIRFOIL (NACA 43012A) (marske5-il),15.7,20.8,23.3,31.8,36.1,47.7,65.1,73.6,92.9,96.5,12.2%,3.4%
MARSKE PIONEER IID TIP AIRFOIL (NACA 431012A*.833 HYBRID) (marske4-il),17,22.3,24.8,34.1,39.5,50.4,73.9,78.9,100.6,98.6,10.2%,2.8%
MARSKE PIONEER IID ROOT AIRFOIL (NACA 431012A/24112 HYBRID) (marske3-il),19,25,30.4,37.5,46.3,54,75.4,79,99.8,97.8,12.1%,2.8%
MARSKE PIONEER IA AIRFOIL (NACA 23112/43012A HYBRID) (marske2-il),18.9,24,28.8,35.7,43,51.5,72.4,77.5,99,97,12.1%,2.7%
MARSKE XM-1D AIRFOIL (F14-3.0) (marske1-il),9.4,17.8,21.7,38.4,55.7,60.4,89.8,88.8,115.3,104.7,14%,3%
Marsden (marsden-il),3,3.5,3,4.7,5.1,17,28.7,59.1,70.2,98,27.9%,7.7%
MA409 (smoothed) (ma409sm-il),43.5,43.6,64.2,62.4,88.6,81.2,121.6,100.9,140.9,112.2,6.7%,3.3%
MA409 (original) (modified line 7) (ma409-il),42.9,42.5,61.9,59.6,81.5,72.8,99.3,89.3,110.6,94.8,6.8%,3.3%
NACA M9 AIRFOIL (m9-il),15.4,30.6,43.5,49.5,63.1,63.8,80.4,81.2,99.5,99.7,10.4%,7.2%
NACA M8 AIRFOIL (m8-il),8.5,26.5,40.4,46.3,60.2,62.1,83,79.6,96.6,99.1,11.7%,8%
NACA M7 AIRFOIL (m7-il),34.2,36,50.3,54.1,63.5,68.2,73.1,75.1,73,84,6.2%,4.9%
M6 (65%) (m665-il),33.8,33.1,47.3,44.8,60.3,55.4,74.7,61.9,78.6,73.2,7.8%,1.4%
M6 (85%) (m685-il),33.2,34.2,50.6,49.5,66.9,62.9,84.8,70.7,85.4,75.1,10.2%,1.9%
NACA M6 AIRFOIL (m6-il),30.1,32,48.8,48.8,66.5,63.4,87.4,76.4,97,83.6,12%,2.2%
NACA M5 AIRFOIL (m5-il),32.7,34,47.3,46,60.6,57.2,76.5,70.1,86.2,76.7,8.2%,2.1%
NACA M4 AIRFOIL (m4-il),33.1,34,45.5,44.8,57.3,55.4,71.9,66.8,80.7,73.3,6.3%,2.2%
NACA M3 AIRFOIL (m3-il),27.3,26.6,37.9,34.6,45.8,42.2,54.9,56.8,66.9,69.5,11.9%,0%
NACA M27 AIRFOIL (m27-il),4.7,9.6,9,41.3,62.8,70.1,105.5,105,135.9,126.2,12%,8.4%
NACA M26 AIRFOIL (m26-il),6.1,14,16.6,41.4,78.7,78.3,115.7,98.7,141.1,113.7,8.3%,8.3%
NACA M25 AIRFOIL (m25-il),6.8,20.5,53.9,54.3,78.4,78.5,102.3,94.5,111.9,107.8,6.3%,8.2%
NACA M24 AIRFOIL (m24-il),5.1,19.9,25.5,45.2,67.9,71.2,104.2,100.6,129.3,118.9,12%,6.3%
NACA M23 AIRFOIL (m23-il),6.9,23.6,44.6,53.3,76.5,76,106.6,102.7,128.6,117.9,8.1%,6.4%
NACA M22 AIRFOIL (m22-il),18.7,32.8,54.6,55.1,74.9,73.9,100.3,81.9,115,91,6.3%,6.3%
NACA M21 AIRFOIL (m21-il),5.4,22.2,29.8,48.5,70.1,73.7,107.3,105.8,135.9,128.4,12%,6%
NACA M20 AIRFOIL (m20-il),10.4,26.7,55.9,56.3,78.6,78,108.7,105.2,131.9,125.3,8.2%,6.1%
NACA M2 AIRFOIL (m2-il),21.8,21.6,29.4,27.6,32,36.8,45.9,54.4,60.6,70.2,8%,0%
NACA M19 AIRFOIL (m19-il),20.8,37.8,57.8,57.4,77.4,75.5,102.5,83,117.9,92.2,6.2%,6%
NACA M18 AIRFOIL (m18-il),11.1,25.3,47.3,50.4,71.8,72.2,103.5,100.7,127.2,116.8,12%,4.1%
NACA M17 AIRFOIL (m17-il),35.7,35.6,55.2,55.5,75.3,74.2,102.4,98.3,122.3,114.8,8.1%,4.1%
NACA M16 AIRFOIL (m16-il),39,38.1,53.6,53.6,70.3,68.9,92.7,88.6,109.1,102.9,6.2%,4.1%
NACA M15 AIRFOIL (m15-il),23.8,30,50.3,53.1,72.2,72.3,101.6,98.7,124.7,118.5,12%,3.8%
NACA M14 AIRFOIL (m14-il),38.1,38.8,57.3,57.4,76.8,75.4,102.9,98.1,121.9,113.7,8.1%,3.9%
NACA M13 AIRFOIL (m13-il),38.8,40.6,56.7,56.8,74.1,73.4,98.1,95,115.3,86.3,6.2%,3.8%
NACA M12 AIRFOIL (m12-il),31.6,33.6,49,48.8,65.9,62.4,86.7,77.2,98.8,85.4,11.9%,2%
NACA M11 AIRFOIL (m11-il),34.8,35.2,50.4,48.6,65.7,60.7,84.8,75.1,96.6,82.5,8.2%,1.9%
NACA M10 AIRFOIL (m10-il),34.4,34.5,46.5,45.3,58.8,54.9,72.9,64.9,80.9,75.3,6.2%,1.9%
NACA-M1 AIRFOIL (m1-il),18.4,20.6,27.6,24.9,32.9,32.2,38.2,50.5,56,63.4,6.2%,0%
LWK 80-150/K25 (lwk80150k25-il),28,23.4,38.1,26.7,38.6,35.5,52.3,44,59.4,55.4,15%,0%
LWK 80-120/K25 (lwk80120k25-il),27.3,27.2,40.7,30.1,41.4,38,51.1,51.2,62.2,63.1,12.1%,0%
LWK 80-100 (lwk80100-il),26.2,26.4,59.4,31.9,44,38.3,49,51.1,60.5,61.4,10.1%,0%
LWK 80-080 (lwk80080-il),22.4,24.7,37.4,33.9,45.9,35.7,47.2,47.2,54.1,57.2,8.1%,0%
LWK 79-100 (lwk79100-il),25.9,27.1,37.4,35.5,47.7,44.4,59.5,60.1,72.6,74.2,10%,0%
NASA/LANGLEY LS(1)-0421MOD AIRFOIL (ls421mod-il),7.2,18.6,37.2,38.4,51.9,56,80.8,77.1,100,90.3,21%,2.3%
NASA/LANGLEY LS(1)-0421 AIRFOIL (ls421-il),23.8,18.4,33.1,30.7,52.4,56.4,89.5,81.5,111.9,91.2,20.9%,2.4%
NASA/LANGLEY LS(1)-0417MOD AIRFOIL (ls417mod-il),24.3,26.3,33.1,41.1,52.5,57.3,79.9,81.6,103,100.4,17%,2.3%
